/film/gran-turismo/, [1328, 3191, 4174, 14437, 23568, 63343, 67665, 63520, 17202, 27302]
/film/oppenheimer-2023/, [6981, 17156, 9340, 58662, 52773, 258730, 281100, 836633, 588721, 930573]
/film/barbie/, [20422, 47748, 30540, 162615, 155854, 648693, 568781, 1167731, 413600, 955354]
/film/mission-impossible-dead-reckoning/, [1518, 3921, 3829, 17002, 25225, 89595, 128783, 208756, 74950, 50693]
/film/nimona-2023/, [744, 1251, 1307, 4881, 8175, 32295, 55250, 108871, 49830, 74183]
/film/spider-man-across-the-spider-verse/, [2778, 5571, 3101, 19662, 21478, 120045, 158303, 559540, 489963, 1162328]
/film/transformers-rise-of-the-beasts/, [4249, 10560, 12321, 34537, 40307, 66974, 35484, 22960, 4337, 8635]
/film/asteroid-city/, [4659, 12764, 10594, 48564, 60261, 180660, 195718, 242412, 81826, 64203]
/film/anatomy-of-a-fall/, [1580, 4043, 2797, 15590, 18525, 88508, 147347, 436294, 266388, 237786]
/film/indiana-jones-and-the-dial-of-destiny/, [5142, 12993, 16541, 55889, 73073, 144318, 88904, 55887, 8582, 12343]
/film/guardians-of-the-galaxy-vol-3/, [3459, 9152, 6588, 35093, 40395, 170520, 215732, 489223, 255581, 344133]
/film/bottoms/, [5267, 11153, 9067, 35834, 42804, 145219, 177889, 321486, 128624, 288715]
/film/dungeons-dragons-honor-among-thieves/, [1773, 4452, 4725, 19662, 33129, 122867, 177496, 187533, 40770, 38168]
/film/john-wick-chapter-4/, [2493, 6022, 4899, 20905, 25466, 90967, 118279, 244037, 128615, 139639]
/film/luther-the-fallen-sun/, [620, 1525, 2029, 6774, 9382, 17461, 10186, 7131, 1185, 1856]
/film/ant-man-and-the-wasp-quantumania/, [39130, 70788, 66693, 152284, 124098, 155127, 61738, 38903, 5356, 18829]
/film/the-pale-blue-eye/, [647, 2242, 3210, 15429, 25040, 56307, 37974, 25201, 4565, 6230]
/film/avatar-the-way-of-water/, [11251, 27454, 19150, 84573, 86005, 283796, 276230, 455210, 162012, 266448]
/film/your-christmas-or-mine/, [252, 689, 845, 2938, 4131, 8009, 3906, 2611, 334, 614]
/film/puss-in-boots-the-last-wish/, [1294, 4100, 2716, 17206, 19616, 105780, 157658, 434098, 255568, 370230]
